source,month,n_homes_active,fleet_import_kwh,fleet_gross_import_usd,fleet_export_kwh,fleet_export_credit_usd,fleet_net_bill_usd,peak_am_cost_usd,peak_pm_cost_usd,midday_cost_usd,shoulder_cost_usd,peak_am_kwh,peak_pm_kwh,midday_kwh,shoulder_kwh
no_vic,2025-04,134,13466.971225,4869.945144,15025.688607,1502.568861,3367.376283,585.520158,814.526904,123.666716,3346.231365,1582.486913,1810.059788,1030.555971,9043.868554
no_vic,2025-05,135,54507.837953,20229.209073,9561.805890,956.180589,19273.028484,3294.108821,3732.409616,289.070619,12913.620016,8902.996815,8294.243590,2408.921829,34901.675720
no_vic,2025-06,138,121027.386593,44795.277883,5621.566542,562.156654,44233.121228,7132.896810,9931.706114,840.236064,26890.438895,19278.099486,22070.458032,7001.967197,72676.861878
no_vic,2025-07,138,116001.075931,42947.216572,5946.247975,594.624797,42352.591775,6750.186021,10011.510599,841.442702,25344.077250,18243.746003,22247.801331,7012.022516,68497.506082
no_vic,2025-08,138,79795.806900,29666.714048,12654.346938,1265.434694,28401.279355,4821.593014,5444.213305,396.285431,19004.622299,13031.332470,12098.251789,3302.378590,51363.844051
no_vic,2025-09,138,41848.700025,15159.780837,14689.310525,1468.931052,13690.849784,1897.373363,2603.168140,377.771337,10281.467996,5128.036117,5784.818088,3148.094479,27787.751341
no_vic,2025-10,138,26467.866344,9352.538328,31528.579359,3152.857936,6199.680393,593.961783,2069.292196,388.054266,6301.230085,1605.302115,4598.427101,3233.785547,17030.351580
no_vic,2025-11,138,24037.538389,8367.593137,34880.501627,3488.050163,4879.542975,410.909804,1968.574848,420.607166,5567.501319,1110.567039,4374.610773,3505.059714,15047.300863
no_vic,2025-12,138,24257.422362,8526.500591,61768.601368,6176.860137,2349.640454,415.025918,1988.145123,385.052978,5738.276572,1121.691670,4418.100273,3208.774820,15508.855599
no_vic,2026-01,138,19755.096590,7423.457869,83062.479095,8306.247910,-882.790040,247.436900,1791.123260,98.087895,5286.809814,668.748380,3980.273911,817.399127,14288.675173
no_vic,2026-02,138,19356.003612,7231.663569,58794.648010,5879.464801,1352.198768,397.112476,1493.134398,93.841864,5247.574832,1073.276963,3318.076439,782.015530,14182.634680
no_vic,2026-03,138,18391.825666,6720.845459,48694.803976,4869.480398,1851.365061,514.955506,1212.398210,143.840399,4849.651343,1391.771639,2694.218245,1198.669990,13107.165792
no_vic,2026-04,136,3255.493813,1196.703408,13619.651663,1361.965166,-165.261758,118.892185,217.703256,22.335410,837.772558,321.330229,483.785013,186.128415,2264.250156
